user,login_count,off_hour_logins,weekend_logins,unique_pcs_logon,off_hour_ratio,weekend_ratio,device_connections,unique_pcs_device,raw_anomaly_score,risk_score,is_anomaly,risk_level,risk_explanation,is_simulated,persona_description
Dtaa/Bjm0992,2453,1207,0,866,0.4921,0.0,0,0,-0.108091,96.63,1,High,Excessive logins (2453 total) | High off-hours activity (1207 logins outside 8AM–6PM) | Logged into multiple PCs (866 distinct machines),0,
Dtaa/Cln0999,2454,1209,0,869,0.4927,0.0,0,0,-0.107599,96.51,1,High,Excessive logins (2454 total) | High off-hours activity (1209 logins outside 8AM–6PM) | Logged into multiple PCs (869 distinct machines),0,
Dtaa/Crc0996,2415,1214,0,859,0.5027,0.0,0,0,-0.107108,96.38,1,High,Excessive logins (2415 total) | High off-hours activity (1214 logins outside 8AM–6PM) | Logged into multiple PCs (859 distinct machines),0,
Dtaa/Eld1000,2450,1270,0,877,0.5184,0.0,0,0,-0.106719,96.28,1,High,Excessive logins (2450 total) | High off-hours activity (1270 logins outside 8AM–6PM) | Logged into multiple PCs (877 distinct machines),0,
SIM_PCHopper,120,18,14,14,0.15,0.12,12,11,-0.106187,96.15,1,High,Excessive logins (120 total) | High off-hours activity (18 logins outside 8AM–6PM) | Frequent weekend logins (14 weekend events) | Logged into multiple PCs (14 distinct machines) | Connected devices across multiple PCs (11 machines),1,Accesses 14 unique PCs across the organization. Classic lateral movement pattern — searching for data or escalating privileges.
Dtaa/Ljr0772,410,393,9,18,0.9585,0.022,101,1,-0.092291,92.64,1,High,Excessive logins (410 total) | High off-hours activity (393 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (101 total),0,
Dtaa/Rah0968,418,42,9,31,0.1005,0.0215,35,1,-0.088237,91.61,1,High,Excessive logins (418 total) | High off-hours activity (42 logins outside 8AM–6PM) | Logged into multiple PCs (31 distinct machines) | Excessive device connections (35 total),0,
Dtaa/Irc0991,2649,1539,0,872,0.581,0.0,171,1,-0.085852,91.01,1,High,Excessive logins (2649 total) | High off-hours activity (1539 logins outside 8AM–6PM) | Logged into multiple PCs (872 distinct machines) | Excessive device connections (171 total),0,
Dtaa/Pjl0320,692,405,10,22,0.5853,0.0145,0,0,-0.080749,89.72,1,High,Excessive logins (692 total) | High off-hours activity (405 logins outside 8AM–6PM) | Logged into multiple PCs (22 distinct machines),0,
Dtaa/Ctf0687,394,49,8,1,0.1244,0.0203,0,0,-0.07577,88.46,1,High,Excessive logins (394 total) | High off-hours activity (49 logins outside 8AM–6PM),0,
Dtaa/Cdz0056,813,414,9,66,0.5092,0.0111,82,1,-0.073542,87.9,1,High,Excessive logins (813 total) | High off-hours activity (414 logins outside 8AM–6PM) | Logged into multiple PCs (66 distinct machines) | Excessive device connections (82 total),0,
Dtaa/Wta0867,378,378,7,1,1.0,0.0185,33,1,-0.072483,87.63,1,High,Excessive logins (378 total) | High off-hours activity (378 logins outside 8AM–6PM) | Excessive device connections (33 total),0,
Dtaa/Fkr0550,746,407,9,53,0.5456,0.0121,155,1,-0.070471,87.12,1,High,Excessive logins (746 total) | High off-hours activity (407 logins outside 8AM–6PM) | Logged into multiple PCs (53 distinct machines) | Excessive device connections (155 total),0,
Dtaa/Btw0973,683,411,10,1,0.6018,0.0146,16,1,-0.065192,85.79,1,High,Excessive logins (683 total) | High off-hours activity (411 logins outside 8AM–6PM),0,
Dtaa/Hcg0731,758,70,8,54,0.0923,0.0106,346,1,-0.064196,85.54,1,High,Excessive logins (758 total) | High off-hours activity (70 logins outside 8AM–6PM) | Logged into multiple PCs (54 distinct machines) | Excessive device connections (346 total),0,
Dtaa/Nds0490,439,60,7,37,0.1367,0.0159,136,1,-0.057674,83.89,1,High,Excessive logins (439 total) | High off-hours activity (60 logins outside 8AM–6PM) | Logged into multiple PCs (37 distinct machines) | Excessive device connections (136 total),0,
Dtaa/Cth0856,402,246,7,1,0.6119,0.0174,137,1,-0.056463,83.58,1,High,Excessive logins (402 total) | High off-hours activity (246 logins outside 8AM–6PM) | Excessive device connections (137 total),0,
Dtaa/Rby0065,419,371,4,44,0.8854,0.0095,0,0,-0.052232,82.51,1,High,Excessive logins (419 total) | High off-hours activity (371 logins outside 8AM–6PM) | Logged into multiple PCs (44 distinct machines),0,
Dtaa/Aff0760,116,67,2,2,0.5776,0.0172,3,1,-0.038308,78.99,1,High,Excessive logins (116 total) | High off-hours activity (67 logins outside 8AM–6PM),0,
Dtaa/Iag0152,373,219,5,1,0.5871,0.0134,0,0,-0.036361,78.5,1,High,Excessive logins (373 total) | High off-hours activity (219 logins outside 8AM–6PM),0,
Dtaa/Cwg0305,670,55,8,14,0.0821,0.0119,59,1,-0.033504,77.78,1,High,Excessive logins (670 total) | High off-hours activity (55 logins outside 8AM–6PM) | Logged into multiple PCs (14 distinct machines) | Excessive device connections (59 total),0,
Dtaa/Dis0382,703,227,6,15,0.3229,0.0085,326,1,-0.031932,77.38,1,High,Excessive logins (703 total) | High off-hours activity (227 logins outside 8AM–6PM) | Logged into multiple PCs (15 distinct machines) | Excessive device connections (326 total),0,
Dtaa/Vnm0127,384,39,5,1,0.1016,0.013,155,1,-0.030994,77.15,1,High,Excessive logins (384 total) | High off-hours activity (39 logins outside 8AM–6PM) | Excessive device connections (155 total),0,
Dtaa/Cha0174,779,44,4,72,0.0565,0.0051,344,1,-0.026889,76.11,1,High,Excessive logins (779 total) | High off-hours activity (44 logins outside 8AM–6PM) | Logged into multiple PCs (72 distinct machines) | Excessive device connections (344 total),0,
Dtaa/Jll0301,398,28,5,26,0.0704,0.0126,154,1,-0.026854,76.1,1,High,Excessive logins (398 total) | High off-hours activity (28 logins outside 8AM–6PM) | Logged into multiple PCs (26 distinct machines) | Excessive device connections (154 total),0,
Dtaa/Jmm0759,713,64,8,22,0.0898,0.0112,10,1,-0.026005,75.89,1,High,Excessive logins (713 total) | High off-hours activity (64 logins outside 8AM–6PM) | Logged into multiple PCs (22 distinct machines),0,
Dtaa/Aks0283,744,45,7,45,0.0605,0.0094,6,1,-0.023891,75.35,1,High,Excessive logins (744 total) | High off-hours activity (45 logins outside 8AM–6PM) | Logged into multiple PCs (45 distinct machines),0,
Dtaa/Nhl0253,748,32,7,60,0.0428,0.0094,23,1,-0.023183,75.17,1,High,Excessive logins (748 total) | High off-hours activity (32 logins outside 8AM–6PM) | Logged into multiple PCs (60 distinct machines),0,
Dtaa/Kad0059,694,409,8,14,0.5893,0.0115,31,1,-0.022093,74.9,1,High,Excessive logins (694 total) | High off-hours activity (409 logins outside 8AM–6PM) | Logged into multiple PCs (14 distinct machines) | Excessive device connections (31 total),0,
Dtaa/Wcn0570,371,364,4,8,0.9811,0.0108,103,1,-0.021512,74.75,1,High,Excessive logins (371 total) | High off-hours activity (364 logins outside 8AM–6PM) | Logged into multiple PCs (8 distinct machines) | Excessive device connections (103 total),0,
Dtaa/Emr0242,417,60,5,13,0.1439,0.012,38,1,-0.02139,74.72,1,High,Excessive logins (417 total) | High off-hours activity (60 logins outside 8AM–6PM) | Logged into multiple PCs (13 distinct machines) | Excessive device connections (38 total),0,
Dtaa/Djw0368,673,215,5,1,0.3195,0.0074,0,0,-0.019766,74.31,1,High,Excessive logins (673 total) | High off-hours activity (215 logins outside 8AM–6PM),0,
Dtaa/Dfz0063,673,52,7,8,0.0773,0.0104,32,1,-0.016644,73.52,1,High,Excessive logins (673 total) | High off-hours activity (52 logins outside 8AM–6PM) | Logged into multiple PCs (8 distinct machines) | Excessive device connections (32 total),0,
Dtaa/Msv0506,671,403,5,1,0.6006,0.0075,0,0,-0.015236,73.16,1,High,Excessive logins (671 total) | High off-hours activity (403 logins outside 8AM–6PM),0,
Dtaa/Bir0534,791,399,5,63,0.5044,0.0063,8,1,-0.014516,72.98,1,High,Excessive logins (791 total) | High off-hours activity (399 logins outside 8AM–6PM) | Logged into multiple PCs (63 distinct machines),0,
Dtaa/Srn0275,703,201,7,41,0.2859,0.01,7,1,-0.013707,72.78,1,High,Excessive logins (703 total) | High off-hours activity (201 logins outside 8AM–6PM) | Logged into multiple PCs (41 distinct machines),0,
Dtaa/Mvw0630,703,389,5,26,0.5533,0.0071,345,1,-0.006543,70.97,1,High,Excessive logins (703 total) | High off-hours activity (389 logins outside 8AM–6PM) | Logged into multiple PCs (26 distinct machines) | Excessive device connections (345 total),0,
Dtaa/Shr0025,740,205,5,60,0.277,0.0068,184,1,-0.005705,70.75,1,High,Excessive logins (740 total) | High off-hours activity (205 logins outside 8AM–6PM) | Logged into multiple PCs (60 distinct machines) | Excessive device connections (184 total),0,
Dtaa/Jhd0512,729,38,6,57,0.0521,0.0082,53,1,-0.004439,70.43,1,High,Excessive logins (729 total) | High off-hours activity (38 logins outside 8AM–6PM) | Logged into multiple PCs (57 distinct machines) | Excessive device connections (53 total),0,
Dtaa/Sah0192,674,58,5,1,0.0861,0.0074,225,1,-0.003739,70.26,1,High,Excessive logins (674 total) | High off-hours activity (58 logins outside 8AM–6PM) | Excessive device connections (225 total),0,
Dtaa/Aja0220,705,404,6,18,0.573,0.0085,163,1,-0.002884,70.04,1,High,Excessive logins (705 total) | High off-hours activity (404 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (163 total),0,
Dtaa/Ddk0417,775,43,4,70,0.0555,0.0052,219,1,-0.002108,69.85,1,Medium,Excessive logins (775 total) | High off-hours activity (43 logins outside 8AM–6PM) | Logged into multiple PCs (70 distinct machines) | Excessive device connections (219 total),0,
Dtaa/Ikh0904,750,57,3,56,0.076,0.004,336,1,-0.00156,69.71,1,Medium,Excessive logins (750 total) | High off-hours activity (57 logins outside 8AM–6PM) | Logged into multiple PCs (56 distinct machines) | Excessive device connections (336 total),0,
Dtaa/Zab0889,669,208,6,1,0.3109,0.009,37,1,-0.00152,69.7,1,Medium,Excessive logins (669 total) | High off-hours activity (208 logins outside 8AM–6PM) | Excessive device connections (37 total),0,
Dtaa/Xin0791,360,190,4,1,0.5278,0.0111,0,0,8e-05,69.29,0,Medium,Excessive logins (360 total) | High off-hours activity (190 logins outside 8AM–6PM),0,
Dtaa/Oyr0801,682,227,4,12,0.3328,0.0059,339,1,0.001035,69.05,0,Medium,Excessive logins (682 total) | High off-hours activity (227 logins outside 8AM–6PM) | Logged into multiple PCs (12 distinct machines) | Excessive device connections (339 total),0,
Dtaa/Ama0191,660,375,4,1,0.5682,0.0061,355,1,0.001637,68.9,0,Medium,Excessive logins (660 total) | High off-hours activity (375 logins outside 8AM–6PM) | Excessive device connections (355 total),0,
Dtaa/Ksp0927,403,23,4,35,0.0571,0.0099,15,1,0.001837,68.85,0,Medium,Excessive logins (403 total) | High off-hours activity (23 logins outside 8AM–6PM) | Logged into multiple PCs (35 distinct machines),0,
Dtaa/Tpc0102,741,375,5,56,0.5061,0.0067,6,1,0.001951,68.82,0,Medium,Excessive logins (741 total) | High off-hours activity (375 logins outside 8AM–6PM) | Logged into multiple PCs (56 distinct machines),0,
Dtaa/Mic0914,776,31,3,74,0.0399,0.0039,258,1,0.002597,68.66,0,Medium,Excessive logins (776 total) | High off-hours activity (31 logins outside 8AM–6PM) | Logged into multiple PCs (74 distinct machines) | Excessive device connections (258 total),0,
Dtaa/Puh0847,396,390,1,1,0.9848,0.0025,138,1,0.00328,68.48,0,Medium,Excessive logins (396 total) | High off-hours activity (390 logins outside 8AM–6PM) | Excessive device connections (138 total),0,
Dtaa/Sdc0032,698,246,5,18,0.3524,0.0072,207,1,0.004177,68.26,0,Medium,Excessive logins (698 total) | High off-hours activity (246 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (207 total),0,
Dtaa/Atj0284,351,351,1,1,1.0,0.0028,275,1,0.004479,68.18,0,Medium,Excessive logins (351 total) | High off-hours activity (351 logins outside 8AM–6PM) | Excessive device connections (275 total),0,
Dtaa/Sjh0588,699,55,4,20,0.0787,0.0057,321,1,0.00601,67.79,0,Medium,Excessive logins (699 total) | High off-hours activity (55 logins outside 8AM–6PM) | Logged into multiple PCs (20 distinct machines) | Excessive device connections (321 total),0,
Dtaa/Xcb0445,407,358,1,50,0.8796,0.0025,0,0,0.006325,67.71,0,Medium,Excessive logins (407 total) | High off-hours activity (358 logins outside 8AM–6PM) | Logged into multiple PCs (50 distinct machines),0,
Dtaa/Pcm0846,717,65,5,24,0.0907,0.007,15,1,0.006626,67.64,0,Medium,Excessive logins (717 total) | High off-hours activity (65 logins outside 8AM–6PM) | Logged into multiple PCs (24 distinct machines),0,
Dtaa/Cos0121,778,410,4,62,0.527,0.0051,115,1,0.009705,66.86,0,Medium,Excessive logins (778 total) | High off-hours activity (410 logins outside 8AM–6PM) | Logged into multiple PCs (62 distinct machines) | Excessive device connections (115 total),0,
Dtaa/Mql0135,669,368,4,18,0.5501,0.006,356,1,0.009691,66.86,0,Medium,Excessive logins (669 total) | High off-hours activity (368 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (356 total),0,
Dtaa/Hns0858,727,237,5,31,0.326,0.0069,35,1,0.010907,66.56,0,Medium,Excessive logins (727 total) | High off-hours activity (237 logins outside 8AM–6PM) | Logged into multiple PCs (31 distinct machines) | Excessive device connections (35 total),0,
Dtaa/Jbl0450,377,32,4,1,0.0849,0.0106,32,1,0.012538,66.14,0,Medium,Excessive logins (377 total) | High off-hours activity (32 logins outside 8AM–6PM) | Excessive device connections (32 total),0,
Dtaa/Rlc0442,389,388,1,1,0.9974,0.0026,36,1,0.015993,65.27,0,Medium,Excessive logins (389 total) | High off-hours activity (388 logins outside 8AM–6PM) | Excessive device connections (36 total),0,
Dtaa/Chs0324,686,387,6,15,0.5641,0.0087,23,1,0.017541,64.88,0,Medium,Excessive logins (686 total) | High off-hours activity (387 logins outside 8AM–6PM) | Logged into multiple PCs (15 distinct machines),0,
Dtaa/Pkm0092,652,16,3,24,0.0245,0.0046,0,0,0.017788,64.82,0,Medium,Excessive logins (652 total) | High off-hours activity (16 logins outside 8AM–6PM) | Logged into multiple PCs (24 distinct machines),0,
Dtaa/Baf0379,435,38,3,40,0.0874,0.0069,157,1,0.022281,63.68,0,Medium,Excessive logins (435 total) | High off-hours activity (38 logins outside 8AM–6PM) | Logged into multiple PCs (40 distinct machines) | Excessive device connections (157 total),0,
Dtaa/Ach0803,411,349,0,48,0.8491,0.0,273,1,0.025592,62.84,0,Medium,Excessive logins (411 total) | High off-hours activity (349 logins outside 8AM–6PM) | Logged into multiple PCs (48 distinct machines) | Excessive device connections (273 total),0,
Dtaa/Cmf0339,698,396,5,18,0.5673,0.0072,13,1,0.026846,62.53,0,Medium,Excessive logins (698 total) | High off-hours activity (396 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines),0,
Dtaa/Hts0265,457,65,3,40,0.1422,0.0066,68,1,0.028696,62.06,0,Medium,Excessive logins (457 total) | High off-hours activity (65 logins outside 8AM–6PM) | Logged into multiple PCs (40 distinct machines) | Excessive device connections (68 total),0,
Dtaa/Ajp0553,426,46,3,39,0.108,0.007,20,1,0.029086,61.96,0,Medium,Excessive logins (426 total) | High off-hours activity (46 logins outside 8AM–6PM) | Logged into multiple PCs (39 distinct machines),0,
Dtaa/Tkh0211,680,396,5,14,0.5824,0.0074,29,1,0.030663,61.56,0,Medium,Excessive logins (680 total) | High off-hours activity (396 logins outside 8AM–6PM) | Logged into multiple PCs (14 distinct machines),0,
Dtaa/Stf0145,682,45,4,8,0.066,0.0059,140,1,0.031181,61.43,0,Medium,Excessive logins (682 total) | High off-hours activity (45 logins outside 8AM–6PM) | Logged into multiple PCs (8 distinct machines) | Excessive device connections (140 total),0,
Dtaa/Cth0082,402,49,2,9,0.1219,0.005,0,0,0.032462,61.11,0,Medium,Excessive logins (402 total) | High off-hours activity (49 logins outside 8AM–6PM) | Logged into multiple PCs (9 distinct machines),0,
Dtaa/Grg0693,384,39,2,1,0.1016,0.0052,166,1,0.032742,61.04,0,Medium,Excessive logins (384 total) | High off-hours activity (39 logins outside 8AM–6PM) | Excessive device connections (166 total),0,
Dtaa/Rbc0583,718,14,2,62,0.0195,0.0028,3,1,0.032955,60.98,0,Medium,Excessive logins (718 total) | Logged into multiple PCs (62 distinct machines),0,
Dtaa/Htc0607,739,200,2,60,0.2706,0.0027,246,1,0.033683,60.8,0,Medium,Excessive logins (739 total) | High off-hours activity (200 logins outside 8AM–6PM) | Logged into multiple PCs (60 distinct machines) | Excessive device connections (246 total),0,
Dtaa/Rac0282,639,9,3,1,0.0141,0.0047,0,0,0.033724,60.79,0,Medium,Excessive logins (639 total),0,
Dtaa/Dsh0627,364,193,3,1,0.5302,0.0082,9,1,0.034062,60.7,0,Medium,Excessive logins (364 total) | High off-hours activity (193 logins outside 8AM–6PM),0,
Dtaa/Eos0972,762,404,3,56,0.5302,0.0039,28,1,0.036373,60.12,0,Medium,Excessive logins (762 total) | High off-hours activity (404 logins outside 8AM–6PM) | Logged into multiple PCs (56 distinct machines),0,
Dtaa/Abs0726,394,39,3,11,0.099,0.0076,31,1,0.037854,59.75,0,Medium,Excessive logins (394 total) | High off-hours activity (39 logins outside 8AM–6PM) | Logged into multiple PCs (11 distinct machines) | Excessive device connections (31 total),0,
Dtaa/Jah0544,745,232,2,51,0.3114,0.0027,37,1,0.038871,59.49,0,Medium,Excessive logins (745 total) | High off-hours activity (232 logins outside 8AM–6PM) | Logged into multiple PCs (51 distinct machines) | Excessive device connections (37 total),0,
Dtaa/Akw0582,666,39,2,1,0.0586,0.003,0,0,0.039024,59.45,0,Medium,Excessive logins (666 total) | High off-hours activity (39 logins outside 8AM–6PM),0,
Dtaa/Jms0793,345,345,0,1,1.0,0.0,345,1,0.039058,59.44,0,Medium,Excessive logins (345 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Aib0797,676,47,3,1,0.0695,0.0044,108,1,0.040019,59.2,0,Medium,Excessive logins (676 total) | High off-hours activity (47 logins outside 8AM–6PM) | Excessive device connections (108 total),0,
Dtaa/Afo0022,685,379,2,25,0.5533,0.0029,0,0,0.040787,59.0,0,Medium,Excessive logins (685 total) | High off-hours activity (379 logins outside 8AM–6PM) | Logged into multiple PCs (25 distinct machines),0,
Dtaa/Res0962,397,350,0,43,0.8816,0.0,207,1,0.041607,58.8,0,Medium,Excessive logins (397 total) | High off-hours activity (350 logins outside 8AM–6PM) | Logged into multiple PCs (43 distinct machines) | Excessive device connections (207 total),0,
Dtaa/Mcf0427,376,31,3,1,0.0824,0.008,23,1,0.041723,58.77,0,Medium,Excessive logins (376 total) | High off-hours activity (31 logins outside 8AM–6PM),0,
Dtaa/Jlm0053,612,12,1,19,0.0196,0.0016,327,1,0.042835,58.49,0,Medium,Excessive logins (612 total) | Logged into multiple PCs (19 distinct machines) | Excessive device connections (327 total),0,
Dtaa/Clk0383,684,388,4,18,0.5673,0.0058,10,1,0.043028,58.44,0,Medium,Excessive logins (684 total) | High off-hours activity (388 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines),0,
Dtaa/Nhh0566,654,388,3,1,0.5933,0.0046,0,0,0.043683,58.27,0,Medium,Excessive logins (654 total) | High off-hours activity (388 logins outside 8AM–6PM),0,
Dtaa/Rbc0879,681,44,1,10,0.0646,0.0015,324,1,0.045137,57.91,0,Medium,Excessive logins (681 total) | High off-hours activity (44 logins outside 8AM–6PM) | Logged into multiple PCs (10 distinct machines) | Excessive device connections (324 total),0,
Dtaa/Grs0372,702,15,2,52,0.0214,0.0028,144,1,0.046684,57.51,0,Medium,Excessive logins (702 total) | Logged into multiple PCs (52 distinct machines) | Excessive device connections (144 total),0,
Dtaa/Dcc0600,413,348,0,62,0.8426,0.0,74,1,0.047805,57.23,0,Medium,Excessive logins (413 total) | High off-hours activity (348 logins outside 8AM–6PM) | Logged into multiple PCs (62 distinct machines) | Excessive device connections (74 total),0,
Dtaa/Gkc0919,370,362,1,9,0.9784,0.0027,0,0,0.047981,57.19,0,Medium,Excessive logins (370 total) | High off-hours activity (362 logins outside 8AM–6PM) | Logged into multiple PCs (9 distinct machines),0,
Dtaa/Mzw0111,413,351,0,50,0.8499,0.0,141,1,0.048255,57.12,0,Medium,Excessive logins (413 total) | High off-hours activity (351 logins outside 8AM–6PM) | Logged into multiple PCs (50 distinct machines) | Excessive device connections (141 total),0,
Dtaa/Aso0023,724,391,2,45,0.5401,0.0028,14,1,0.048266,57.11,0,Medium,Excessive logins (724 total) | High off-hours activity (391 logins outside 8AM–6PM) | Logged into multiple PCs (45 distinct machines),0,
Dtaa/Ajc0399,114,7,0,20,0.0614,0.0,35,1,0.048794,56.98,0,Medium,Excessive logins (114 total) | Logged into multiple PCs (20 distinct machines) | Excessive device connections (35 total),0,
Dtaa/Sap0304,657,200,3,1,0.3044,0.0046,7,1,0.048908,56.95,0,Medium,Excessive logins (657 total) | High off-hours activity (200 logins outside 8AM–6PM),0,
Dtaa/Kgs0398,692,12,2,44,0.0173,0.0029,70,1,0.048925,56.95,0,Medium,Excessive logins (692 total) | Logged into multiple PCs (44 distinct machines) | Excessive device connections (70 total),0,
Dtaa/Ebp0037,362,346,0,18,0.9558,0.0,247,1,0.050327,56.59,0,Medium,Excessive logins (362 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (247 total),0,
Dtaa/Bnw0850,136,71,0,1,0.5221,0.0,43,1,0.050327,56.59,0,Medium,Excessive logins (136 total) | High off-hours activity (71 logins outside 8AM–6PM) | Excessive device connections (43 total),0,
Dtaa/Gyt0279,670,195,3,23,0.291,0.0045,4,1,0.0507,56.5,0,Medium,Excessive logins (670 total) | High off-hours activity (195 logins outside 8AM–6PM) | Logged into multiple PCs (23 distinct machines),0,
Dtaa/Gsl0697,375,346,0,27,0.9227,0.0,209,1,0.051006,56.42,0,Medium,Excessive logins (375 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (27 distinct machines) | Excessive device connections (209 total),0,
Dtaa/Lbb0095,747,11,0,99,0.0147,0.0,104,1,0.051417,56.32,0,Medium,Excessive logins (747 total) | Logged into multiple PCs (99 distinct machines) | Excessive device connections (104 total),0,
Dtaa/Abb0272,738,169,0,73,0.229,0.0,345,1,0.051457,56.31,0,Medium,Excessive logins (738 total) | High off-hours activity (169 logins outside 8AM–6PM) | Logged into multiple PCs (73 distinct machines) | Excessive device connections (345 total),0,
Dtaa/Hcj0171,397,199,1,43,0.5013,0.0025,0,0,0.051912,56.19,0,Medium,Excessive logins (397 total) | High off-hours activity (199 logins outside 8AM–6PM) | Logged into multiple PCs (43 distinct machines),0,
Dtaa/Agw0182,744,367,1,66,0.4933,0.0013,185,1,0.054606,55.51,0,Medium,Excessive logins (744 total) | High off-hours activity (367 logins outside 8AM–6PM) | Logged into multiple PCs (66 distinct machines) | Excessive device connections (185 total),0,
Dtaa/Csc0297,657,366,2,11,0.5571,0.003,244,1,0.056161,55.12,0,Medium,Excessive logins (657 total) | High off-hours activity (366 logins outside 8AM–6PM) | Logged into multiple PCs (11 distinct machines) | Excessive device connections (244 total),0,
Dtaa/Imb0473,654,361,2,14,0.552,0.0031,0,0,0.05622,55.1,0,Medium,Excessive logins (654 total) | High off-hours activity (361 logins outside 8AM–6PM) | Logged into multiple PCs (14 distinct machines),0,
Dtaa/Mch0530,743,385,0,79,0.5182,0.0,6,1,0.059512,54.27,0,Medium,Excessive logins (743 total) | High off-hours activity (385 logins outside 8AM–6PM) | Logged into multiple PCs (79 distinct machines),0,
Dtaa/Csr0189,383,378,1,5,0.9869,0.0026,0,0,0.059575,54.26,0,Medium,Excessive logins (383 total) | High off-hours activity (378 logins outside 8AM–6PM) | Logged into multiple PCs (5 distinct machines),0,
Dtaa/Nsp0910,431,0,0,58,0.0,0.0,310,1,0.06021,54.1,0,Medium,Excessive logins (431 total) | Logged into multiple PCs (58 distinct machines) | Excessive device connections (310 total),0,
Dtaa/Jgc0775,683,393,3,18,0.5754,0.0044,49,1,0.060195,54.1,0,Medium,Excessive logins (683 total) | High off-hours activity (393 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (49 total),0,
Dtaa/Mmf0289,724,172,0,69,0.2376,0.0,345,1,0.06029,54.08,0,Medium,Excessive logins (724 total) | High off-hours activity (172 logins outside 8AM–6PM) | Logged into multiple PCs (69 distinct machines) | Excessive device connections (345 total),0,
Dtaa/Erp0254,384,347,0,37,0.9036,0.0,105,1,0.062951,53.4,0,Medium,Excessive logins (384 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (37 distinct machines) | Excessive device connections (105 total),0,
